Test,User ID,count,mean,std,min,25%,50%,75%,max
A1a1,379.0,13.0,-88.5586153846154,52.8528762123981,-187.044,-126.24600000000001,-87.37200000000001,-42.306000000000004,-9.861
A1a1,390.0,13.0,-104.62138461538463,60.14585557007574,-188.053,-144.511,-125.53,-81.842,7.16
A1a1,399.0,13.0,-33.419769230769234,50.38922508194559,-98.66,-70.923,-54.952,-2.7039999999999997,66.783
A1a1,486.0,13.0,-141.0683846153846,68.44112561968676,-203.27200000000002,-183.636,-158.045,-127.206,59.151
A1a1,510.0,13.0,2.2605384615384634,69.67613262040237,-123.01100000000001,-33.311,6.062,40.242,133.425
A1a1,514.0,13.0,-57.8523076923077,49.19591949776697,-134.011,-91.54700000000001,-74.681,-34.436,44.195
A1a1,521.0,13.0,-77.1316153846154,21.22599973121981,-121.353,-86.382,-70.918,-64.648,-48.276
A1a1,591.0,13.0,-27.825999999999997,49.48407085618563,-83.22399999999998,-50.202,-39.22,-26.519000000000002,109.60700000000001
A1a1,729.0,12.0,-55.160666666666664,40.41677215156494,-129.372,-81.80924999999999,-57.606,-29.736749999999997,5.529
A1a1,932.0,13.0,-7.395538461538459,64.93419977640878,-162.942,-41.424,5.1960000000000015,30.763,74.173
A1a2,379.0,27.0,-16.64766666666667,40.995748139757886,-68.153,-39.4155,-21.163,-5.3915,153.189
A1a2,390.0,28.0,-37.985821428571434,42.86117754734124,-117.441,-59.79599999999999,-33.8505,-14.851499999999998,50.456
A1a2,399.0,26.0,-3.995115384615386,77.58119621574646,-87.384,-44.396499999999996,-23.653999999999996,-9.75525,230.253
A1a2,486.0,28.0,-59.50628571428572,51.41767168681524,-132.095,-92.33475000000001,-69.348,-44.868,132.477
A1a2,510.0,28.0,-2.7492142857142854,26.51178701712259,-40.451,-19.276,-8.454,12.6905,62.393
A1a2,514.0,28.0,-65.15328571428572,47.45317285794191,-130.364,-99.6975,-68.8435,-50.291,104.979
A1a2,521.0,28.0,-24.003857142857147,79.79990579485495,-138.72,-51.675250000000005,-30.09,-16.07225,331.111
A1a2,591.0,28.0,6.467249999999999,66.97802625440067,-56.925,-11.197500000000002,-0.1685,9.89875,329.07
A1a2,729.0,28.0,3.263392857142859,57.76991902643995,-83.64399999999998,-26.35425,-5.0655,12.60425,201.231
A1a2,932.0,27.0,-79.0635925925926,31.44095032114751,-155.379,-101.61500000000001,-76.40899999999998,-62.667500000000004,-17.301
A1a3,379.0,43.0,-46.32697674418605,45.395124084971094,-113.833,-65.17,-56.927,-41.091499999999996,124.929
A1a3,390.0,43.0,-60.596000000000004,43.98130081501629,-110.38600000000001,-81.794,-66.52600000000001,-53.1805,142.931
A1a3,399.0,42.0,-20.294976190476188,42.796937845488884,-121.723,-38.192750000000004,-24.310000000000002,-10.9605,161.445
A1a3,486.0,41.0,-82.37690243902439,64.98938651110844,-224.554,-132.03799999999998,-76.869,-31.84,23.399
A1a3,510.0,42.0,-5.437333333333333,50.839182581877694,-65.884,-33.255500000000005,-17.6405,-1.19725,177.929
A1a3,514.0,43.0,-32.57276744186047,52.07147178082083,-118.586,-52.031499999999994,-40.146,-23.139499999999998,191.525
A1a3,521.0,43.0,-11.334581395348838,33.595065245071304,-76.729,-26.1235,-15.703,-2.714,96.14399999999999
A1a3,591.0,43.0,-6.962813953488371,52.590987834353655,-76.643,-36.8825,-12.468,5.5265,191.296
A1a3,729.0,43.0,2.917581395348836,41.28062210461959,-63.271,-20.027,-5.063,17.3185,151.10399999999996
A1a3,932.0,43.0,-67.92199999999998,37.845096154619306,-132.459,-92.81,-70.192,-52.617000000000004,74.247
A1a4,379.0,56.0,-51.11010714285714,43.853344198249346,-145.289,-76.57675,-54.3345,-26.8335,93.45299999999999
A1a4,390.0,56.0,-30.73071428571428,37.26057039270347,-165.433,-45.102250000000005,-30.947499999999998,-20.026249999999997,117.48200000000001
A1a4,399.0,56.0,-16.47082142857143,39.328743798031084,-160.856,-34.1335,-17.569000000000003,-1.6972500000000001,89.214
A1a4,486.0,57.0,-52.58084210526315,40.4215371667265,-127.229,-70.851,-56.928999999999995,-39.203,109.25299999999999
A1a4,510.0,57.0,-20.026719298245617,36.176006829583685,-141.537,-31.813000000000002,-21.324,-4.1739999999999995,97.413
A1a4,514.0,56.0,-41.42473214285714,45.70556189249582,-163.003,-60.3455,-46.313500000000005,-27.92675,144.858
A1a4,521.0,55.0,-3.7414909090909103,34.492890881537555,-84.33,-19.118000000000002,-3.202,7.573,159.47899999999996
A1a4,591.0,57.0,-14.974543859649122,44.7173457384868,-119.777,-35.699,-15.087,0.9109999999999999,132.093
A1a4,729.0,56.0,-10.01075,49.270103777682834,-158.685,-24.37525,-8.884,6.5889999999999995,123.488
A1a4,932.0,56.0,-38.77335714285714,43.30902577331619,-135.895,-63.48949999999999,-38.8085,-18.922250000000002,108.28
A1b1,379.0,22.0,214.57127272727274,273.99473833307053,-169.417,-64.36225,389.716,451.08375,557.114
A1b1,390.0,21.0,-87.71200000000002,42.1549360692197,-161.763,-109.99,-94.874,-57.416000000000004,17.378
A1b1,399.0,21.0,54.05119047619049,90.61398028925727,-65.865,9.092,36.858000000000004,64.227,353.07099999999997
A1b1,486.0,21.0,-153.38219047619046,91.60816702981184,-249.958,-206.929,-163.91,-131.888,189.60299999999998
A1b1,510.0,21.0,-20.986904761904764,60.470041685039995,-157.795,-49.352,-30.311,12.9,147.50799999999995
A1b1,514.0,22.0,-141.59095454545457,43.26431545025055,-210.65099999999998,-171.57099999999997,-143.94,-119.50475,-25.766
A1b1,521.0,22.0,-77.0849090909091,94.24849284327807,-360.64,-102.6235,-76.42600000000002,-47.59825000000001,197.037
A1b1,591.0,21.0,-14.043999999999999,29.85477016156715,-89.259,-28.91,-9.94,7.74,32.554
A1b1,729.0,21.0,-7.799761904761903,103.44985669004319,-96.34200000000001,-58.345,-24.141,11.823,405.517
A1b1,932.0,20.0,-93.29594999999999,121.67488600731092,-235.521,-152.75024999999997,-100.69149999999999,-72.41175000000001,365.48199999999997
A1b2,379.0,19.0,-4.770210526315789,55.49089922338512,-62.935,-31.7945,-17.892,9.059999999999999,195.865
A1b2,390.0,21.0,-22.604857142857142,53.16448276461054,-116.899,-45.43,-24.84800000000001,-6.135,134.68
A1b2,399.0,21.0,9.181761904761904,40.103934961428365,-63.01300000000001,-12.341,5.7170000000000005,25.064,121.947
A1b2,486.0,21.0,-45.01419047619048,41.76407407404005,-125.17,-70.042,-44.898999999999994,-23.188000000000002,71.8
A1b2,510.0,21.0,-4.75347619047619,36.13308991301332,-49.111000000000004,-29.948,-10.534,7.926,113.365
A1b2,514.0,21.0,-38.822809523809525,26.733014574901667,-77.969,-54.251999999999995,-47.40600000000001,-26.395,51.523
A1b2,521.0,22.0,20.841,40.74430359484098,-33.778,-2.6744999999999997,11.4195,30.865999999999996,111.694
A1b2,591.0,21.0,26.806238095238108,26.781718779616746,-29.506,13.748,26.964000000000002,38.13800000000001,93.66799999999999
A1b2,729.0,21.0,41.86228571428572,53.44792148544493,-21.299,19.695,39.034,54.257,239.81400000000002
A1b2,932.0,21.0,-74.88714285714283,49.28307430577532,-158.335,-107.91799999999999,-77.658,-45.666000000000004,54.975
A1b3,379.0,22.0,-37.81813636363636,52.11123611887999,-225.03099999999998,-44.099500000000006,-35.891000000000005,-27.41175,61.586999999999996
A1b3,390.0,14.0,-24.969142857142856,16.316155103535802,-57.28100000000001,-29.8005,-22.53,-13.173749999999998,-4.614
A1b3,399.0,21.0,18.396142857142856,38.7796410843186,-91.155,8.689,21.695999999999998,34.078,105.544
A1b3,486.0,14.0,-5.446857142857142,31.972317903647024,-60.919,-20.711000000000002,-10.175999999999998,13.0135,74.798
A1b3,510.0,15.0,-17.62406666666667,24.098758039921204,-92.65100000000001,-23.183,-11.341,-3.4765,9.391
A1b3,514.0,21.0,-48.34861904761904,24.77012527315151,-98.03399999999999,-62.703,-51.205,-28.425,-10.156
A1b3,521.0,22.0,28.527,37.414628183308714,-13.317,10.31625,19.593500000000002,32.8285,168.34400000000005
A1b3,591.0,7.0,9.62742857142857,25.663782274229334,-30.91800000000001,-5.1655,16.852,24.3945,43.0
A1b3,729.0,13.0,-15.854230769230771,30.31785791727885,-64.648,-33.586999999999996,-18.79,-5.2120000000000015,37.696
A1b3,932.0,13.0,-43.67123076923076,15.317994255960569,-73.109,-45.927,-43.677,-36.297,-19.226
A1b4,379.0,22.0,-21.123181818181816,46.11659848030793,-67.02,-54.8315,-30.387,-15.322,115.12899999999999
A1b4,390.0,9.0,-27.81566666666667,25.15659739511685,-52.144,-42.131,-37.229,-19.189,31.221999999999998
A1b4,399.0,13.0,18.40623076923077,22.245075571737388,-24.116999999999997,7.7620000000000005,13.690999999999999,34.616,57.924
A1b4,486.0,11.0,-22.875454545454545,39.034523031192876,-116.26799999999999,-34.9135,-9.695,3.4605,18.703
A1b4,510.0,11.0,-23.516545454545454,35.45500833835365,-58.728,-42.2395,-34.313,-18.508499999999998,44.282
A1b4,514.0,20.0,-16.484150000000003,42.194851592001754,-72.258,-41.612750000000005,-27.203500000000005,6.6,114.015
A1b4,521.0,22.0,29.23595454545455,36.4914204077998,-19.463,16.286749999999998,23.7085,32.91275,173.743
A1b4,591.0,4.0,22.874750000000002,44.27464856532837,-15.917,-15.217250000000002,22.3175,60.4095,62.78100000000001
A1b4,729.0,9.0,-11.276111111111112,25.6934567372923,-67.785,-17.972,-7.463999999999999,0.992,25.901
A1b4,932.0,9.0,15.405333333333333,33.08863022625748,-17.564,-14.712,-2.015,48.534,62.434
A2a1,379.0,18.0,2.786000000000003,88.5619034640543,-109.932,-52.969249999999995,-21.991,40.592749999999995,238.27200000000002
A2a1,390.0,19.0,-57.07126315789475,94.3271007474888,-137.724,-97.64350000000002,-74.542,-49.801,301.303
A2a1,399.0,18.0,-23.430777777777777,80.26759838744952,-192.986,-63.103,-17.545,24.06975,115.266
A2a1,486.0,19.0,-160.62415789473684,90.96645966585899,-315.156,-207.46349999999998,-178.69099999999997,-141.091,66.324
A2a1,510.0,19.0,-29.23078947368421,45.947041691227945,-90.66799999999999,-56.772,-38.755,-22.156,92.566
A2a1,514.0,18.0,-73.28783333333334,71.58582023512265,-144.906,-111.886,-84.138,-64.63974999999999,164.847
A2a1,521.0,18.0,-37.461333333333336,83.34422866218222,-105.131,-65.01950000000001,-55.8595,-42.66825,280.07
A2a1,591.0,19.0,-41.618,85.0253351889894,-127.58,-99.19,-63.111999999999995,-6.552,218.396
A2a1,729.0,19.0,-49.235263157894735,58.35520444641125,-147.058,-100.148,-51.56399999999999,-3.9084999999999996,46.46
A2a1,932.0,17.0,-51.83729411764706,71.13280548010593,-203.226,-103.34899999999999,-51.276,6.132999999999999,65.611
A2a2,379.0,18.0,-15.186888888888891,31.925833316111024,-48.773,-35.97650000000001,-26.183500000000002,-8.32975,57.643
A2a2,390.0,19.0,-52.78452631578948,42.193589056696524,-98.244,-88.16650000000001,-67.719,-30.3285,39.629
A2a2,399.0,19.0,-0.26526315789473626,29.806447542328275,-44.292,-22.432000000000002,1.245,20.497,50.608999999999995
A2a2,486.0,19.0,-42.286,47.06390774373832,-103.736,-77.67099999999999,-53.365,-20.499,47.371
A2a2,510.0,19.0,-9.897473684210526,33.74084172263708,-65.217,-26.021500000000003,-10.033999999999999,-1.89,93.711
A2a2,514.0,19.0,-56.13889473684211,64.3377763862075,-139.191,-80.41499999999999,-65.541,-53.15050000000001,177.71400000000003
A2a2,521.0,19.0,5.510578947368421,22.476541339597677,-56.125,-5.117,7.902,15.131999999999998,47.81399999999999
A2a2,591.0,19.0,-19.61836842105263,49.277502624547445,-69.15100000000001,-52.33600000000001,-28.408,-4.6450000000000005,140.435
A2a2,729.0,19.0,4.273368421052631,37.93590615060929,-64.69800000000001,-15.935,0.9279999999999999,15.4465,91.36200000000001
A2a2,932.0,19.0,-23.015473684210527,64.89068813385616,-117.189,-64.2405,-54.815,23.690500000000007,114.712
A2a3,379.0,19.0,-49.14763157894737,32.600712298303016,-77.852,-70.0255,-57.465,-46.111999999999995,54.026
A2a3,390.0,19.0,-25.306526315789476,18.62788435941136,-53.01600000000001,-37.692499999999995,-31.304000000000002,-11.886500000000002,22.281
A2a3,399.0,19.0,7.465157894736841,44.83513574352543,-33.08,-23.500500000000002,-1.639,13.8415,125.81
A2a3,486.0,19.0,-42.58505263157895,25.3179109886738,-92.596,-62.3125,-40.71,-26.717999999999996,6.6110000000000015
A2a3,510.0,18.0,-10.877000000000002,22.38743108243079,-51.838,-23.83775,-13.545,-2.0665,54.736999999999995
A2a3,514.0,19.0,-89.74857894736843,48.8167323902093,-155.77100000000004,-118.81099999999999,-95.619,-70.509,25.226
A2a3,521.0,19.0,-9.497789473684211,22.215969080268334,-46.019,-21.8525,-11.907,3.8549999999999995,37.268
A2a3,591.0,19.0,-2.83842105263158,43.166192102044896,-75.145,-23.460500000000003,-4.727,8.814,118.23
A2a3,729.0,19.0,-14.00542105263158,42.16420230916768,-57.768,-49.8745,-13.872,-0.6324999999999998,106.445
A2a3,932.0,17.0,-36.90458823529412,30.893028145640777,-131.922,-42.913999999999994,-32.83,-18.404,-4.816
A2a4,379.0,19.0,-52.01778947368422,32.08279043796767,-144.171,-59.798,-45.275,-31.0355,-19.234
A2a4,390.0,18.0,-1.6473333333333313,40.18121323966917,-63.273999999999994,-29.9475,-8.496,12.379,82.76700000000002
A2a4,399.0,18.0,20.88761111111111,51.341115986334216,-165.172,16.31575,29.17,40.534749999999995,101.137
A2a4,486.0,19.0,-56.38278947368422,32.19411904642583,-92.26799999999999,-73.152,-62.602,-53.757,42.523
A2a4,510.0,19.0,21.317789473684208,28.191002525587145,-10.067,-0.06499999999999995,14.270999999999999,30.569000000000003,102.244
A2a4,514.0,19.0,-25.725789473684216,43.87667951527953,-67.023,-51.623,-37.26300000000001,-25.523500000000002,97.61
A2a4,521.0,19.0,-14.630210526315789,50.33260817863831,-166.424,-27.3285,-19.702,-1.985,94.28399999999999
A2a4,591.0,19.0,-14.82857894736842,19.529274021654402,-53.85,-27.8315,-15.802,-5.226999999999999,32.238
A2a4,729.0,19.0,0.18889473684210556,25.348157449791398,-38.329,-20.604999999999997,3.069,17.118000000000002,39.696
A2a4,932.0,19.0,-18.12726315789474,40.18533022252732,-81.543,-45.859,-19.457,-3.1525,81.607
A2b1,379.0,19.0,-8.115052631578946,72.68771157452626,-84.54,-63.672,-28.369,24.957,162.225
A2b1,390.0,18.0,-83.2,66.36935067971555,-176.324,-126.05499999999999,-81.37750000000001,-56.233000000000004,100.26299999999999
A2b1,399.0,19.0,51.2878947368421,72.61244839472907,-71.061,9.4845,46.691,111.6845,151.942
A2b1,486.0,19.0,-73.00684210526315,87.36464464483403,-203.26,-94.21600000000001,-75.775,-43.7415,189.33
A2b1,510.0,19.0,-25.43352631578947,37.78493154738984,-109.02799999999999,-47.888,-32.884,0.8929999999999998,38.707
A2b1,514.0,19.0,-70.10642105263159,35.92301263244278,-136.559,-103.916,-68.131,-52.317499999999995,10.386
A2b1,521.0,19.0,-13.45526315789474,42.52590229997361,-84.77600000000002,-34.596000000000004,-14.321,-5.892,106.189
A2b1,591.0,19.0,-11.561263157894738,72.22945888381777,-96.765,-56.5175,-23.385,11.6495,199.679
A2b1,729.0,19.0,30.791947368421052,114.85152782831004,-88.336,-20.5315,7.529,33.8205,449.292
A2b1,932.0,18.0,-32.507777777777775,135.71404769612232,-203.521,-124.06800000000001,-68.13300000000001,24.4695,321.757
A2b2,379.0,19.0,-13.829105263157894,26.911676573344593,-56.94300000000001,-36.235,-14.814,9.14,27.206999999999997
A2b2,390.0,18.0,-14.105222222222222,23.387060211994946,-68.775,-19.792,-16.281,2.447,31.767
A2b2,399.0,18.0,-6.925999999999998,30.77169191089147,-58.872,-21.249499999999998,-9.285,9.749999999999998,52.49100000000001
A2b2,486.0,19.0,-74.61552631578947,78.24733821129028,-165.465,-130.2015,-101.141,-43.670500000000004,102.152
A2b2,510.0,19.0,-3.0874736842105275,35.727835627091814,-89.712,-20.043,0.754,13.573,71.766
A2b2,514.0,19.0,-39.49894736842106,33.035635507523764,-81.65100000000002,-59.494,-38.279,-25.7605,62.973
A2b2,521.0,19.0,16.075842105263156,23.91074711705819,-28.086,1.0655000000000001,16.137,30.506500000000003,65.399
A2b2,591.0,19.0,-9.468736842105264,51.18100793354471,-62.998999999999995,-37.75,-32.243,7.000000000000005,108.65
A2b2,729.0,19.0,-6.4826842105263145,48.46610083582205,-82.134,-33.176,-17.334,1.1809999999999998,103.322
A2b2,932.0,19.0,-63.06621052631578,41.30429466852481,-123.068,-90.435,-71.47399999999998,-30.639,29.433000000000003
A2b3,379.0,19.0,-33.7958947368421,44.55460584109089,-105.302,-55.5045,-48.06,-18.4665,95.189
A2b3,390.0,19.0,14.016526315789472,46.58267439530189,-45.90600000000001,-10.008000000000003,1.973,22.6655,146.247
A2b3,399.0,19.0,10.971105263157895,26.649830741373567,-42.86600000000001,0.927,9.788,28.008499999999998,66.666
A2b3,486.0,18.0,-14.416166666666665,29.531480067388905,-60.977,-33.572500000000005,-19.323,-1.9675000000000002,62.668
A2b3,510.0,19.0,-5.489947368421053,25.520815204834236,-40.923,-19.466,-11.417,1.029,72.124
A2b3,514.0,19.0,-27.644157894736843,29.332461728079352,-72.541,-44.80800000000001,-32.254,-19.9865,55.63800000000001
A2b3,521.0,19.0,-12.193842105263156,30.11337721431228,-43.62600000000001,-37.759,-26.164,3.852,49.722
A2b3,591.0,19.0,-20.88926315789474,26.023339474919442,-61.122,-40.0015,-22.159000000000002,-6.3095,33.602
A2b3,729.0,19.0,-4.168368421052632,34.98590105585475,-51.802,-23.634999999999998,-14.085,5.7775,107.368
A2b3,932.0,19.0,-47.52068421052632,42.25643886248795,-92.178,-72.46199999999999,-56.006,-46.56100000000001,84.156
A2b4,379.0,19.0,-33.40647368421053,38.80344894088156,-77.008,-58.8695,-48.07,-19.155000000000005,73.538
A2b4,390.0,19.0,-15.09573684210526,36.523015507488346,-87.286,-31.872999999999998,-19.855999999999998,-6.631499999999999,74.21300000000002
A2b4,399.0,19.0,-11.517736842105265,43.328714607498014,-164.942,-20.9485,-12.573,8.0335,65.794
A2b4,486.0,19.0,-12.419894736842105,47.84499576165462,-62.873999999999995,-44.12299999999999,-26.958000000000002,-4.1255,91.691
A2b4,510.0,19.0,-16.11326315789474,27.74583171866062,-43.411,-36.269,-23.518,-6.9025,65.53
A2b4,514.0,17.0,-53.85870588235294,29.634673432831825,-91.93299999999999,-72.817,-62.992,-46.63,17.984
A2b4,521.0,14.0,-16.505214285714285,16.158969903281733,-53.618,-25.927,-12.2125,-4.2815,4.333
A2b4,591.0,16.0,0.39312500000000017,29.215022270229404,-47.81100000000001,-21.59025,0.7809999999999999,13.1775,66.889
A2b4,729.0,19.0,-17.56978947368421,21.096435545631735,-53.067,-27.0105,-20.102999999999998,-6.4435,22.516
A2b4,932.0,18.0,-19.52661111111111,77.87665247959818,-129.002,-67.2265,-40.53,47.044,146.974
A3a1,379.0,10.0,-188.21520000000004,361.77567392632204,-783.868,-508.2832500000002,-94.241,109.33425,212.208
A3a1,390.0,12.0,-161.98324999999997,326.58887321416114,-685.6189999999998,-418.06225000000006,-25.0295,106.38749999999999,180.546
A3a1,399.0,13.0,43.81584615384615,248.33128627059395,-632.299,54.458,153.424,180.50099999999998,230.81900000000002
A3a1,486.0,12.0,-65.97466666666669,304.5407245519162,-583.8380000000002,-216.38925,68.75450000000001,151.71975,273.503
A3a1,510.0,12.0,-59.754333333333335,316.2243297940514,-654.217,-370.86275,77.14099999999999,196.49775,264.384
A3a1,514.0,13.0,47.02700000000001,354.9997102409616,-831.799,-17.756,182.80200000000002,190.963,463.505
A3a1,521.0,11.0,-214.50454545454548,349.51392089568157,-801.03,-449.365,-59.93899999999999,11.032,294.472
A3a1,591.0,12.0,-106.64425000000004,364.6599917784249,-764.643,-443.32475,16.236,170.47799999999995,253.97099999999998
A3a1,729.0,10.0,-24.51999999999999,296.9723609032403,-473.60699999999997,-304.51,159.257,168.226,287.411
A3a1,932.0,12.0,-142.70050000000003,370.9427786552187,-667.1080000000002,-421.70649999999995,-176.8755,219.53375000000003,367.759
A3a2,379.0,12.0,-88.09366666666666,95.926306886952,-208.51,-189.2585,-89.3585,14.472000000000001,39.117
A3a2,390.0,12.0,-91.04016666666668,83.19726155440162,-215.41,-156.49325,-72.3565,-40.81825000000001,71.597
A3a2,399.0,12.0,-15.81283333333333,107.05640014397963,-197.222,-95.28125,-19.264499999999998,50.3185,163.18
A3a2,486.0,12.0,-112.3825,114.86242331075111,-262.77299999999997,-205.07774999999998,-143.487,-20.40375,65.23899999999999
A3a2,510.0,12.0,24.044333333333338,122.88302828472385,-179.023,-54.61425,23.512,105.17675000000001,215.942
A3a2,514.0,12.0,-131.22549999999998,95.91716933754495,-270.33799999999997,-224.31849999999997,-115.411,-57.966750000000005,15.085
A3a2,521.0,12.0,-75.28616666666667,99.23029037714912,-266.20599999999996,-139.27749999999997,-70.864,-5.14725,69.464
A3a2,591.0,12.0,-19.31316666666666,124.45918313745443,-164.27599999999995,-135.0615,-15.226999999999999,92.16075000000002,156.511
A3a2,729.0,12.0,-53.348833333333324,95.48388576454653,-174.296,-108.50949999999999,-78.4225,4.17825,142.282
A3a2,932.0,12.0,-142.6293333333333,116.82543876254266,-304.52099999999996,-244.4395,-134.834,-56.2245,43.67
A3a3,379.0,21.0,-63.277095238095235,60.23122684447392,-177.63099999999997,-118.001,-53.309,-19.384,28.823
A3a3,390.0,20.0,-18.718600000000002,72.21029991512,-110.73700000000001,-60.778499999999994,-27.84800000000001,3.3499999999999996,159.981
A3a3,399.0,21.0,-9.66942857142857,59.56060947687777,-81.706,-48.45399999999999,-19.197,15.543,195.67
