,A,B,T-Stat,p-value
0,A1a1,A1a1,0.0,1.0
1,A1a1,A1a2,-5.527514576027324,7.4007456212067e-08
2,A1a1,A1a3,-5.223220835557526,3.9374837492145196e-07
3,A1a1,A1a4,-6.157739456255031,3.964149451459185e-09
4,A1a1,A1b1,-3.0497764830629674,0.0024143991305749595
5,A1a1,A1b2,-8.117894177051447,1.1606583504435865e-14
6,A1a1,A1b3,-7.8516818917375755,9.599849388238792e-14
7,A1a1,A1b4,-7.9630484102997885,4.340142650551148e-14
8,A1a1,A2a1,-3.449997396221225,0.0006142885304991012
9,A1a1,A2a2,-7.04639854046473,1.742756570466724e-11
10,A1a1,A2a3,-6.1092349174476706,4.196028243775232e-09
11,A1a1,A2a4,-7.649568873782208,4.994320904246302e-13
12,A1a1,A2b1,-6.5804375053024025,1.374421146009456e-10
13,A1a1,A2b2,-6.740325931110308,9.49910283840768e-11
14,A1a1,A2b3,-6.871760454575069,4.915133539535846e-11
15,A1a1,A2b4,-6.7144638829601355,1.271236518254816e-10
16,A1a1,A3a1,0.5288157177653705,0.5974837615067947
17,A1a1,A3a2,-0.6695513993182576,0.5036127011732521
18,A1a1,A3a3,-6.496301995012752,3.362971282420631e-10
19,A1a1,A3a4,-7.786754306941357,2.4881157376296596e-13
20,A1a1,A3b1,1.4776604712777213,0.14096810548837424
21,A1a1,A3b2,-2.8553382302683037,0.004545046935594411
22,A1a1,A3b3,-5.553667188355714,6.220277546667064e-08
23,A1a1,A3b4,-8.534678838321037,1.698247356131327e-15
24,A1a1,A4a1,-3.1881748446505607,0.0015494666708487307
25,A1a1,A4a2,-4.54597718489108,7.240102251153416e-06
26,A1a1,A4a3,-6.20353816806255,1.8839560607291014e-09
27,A1a1,A4a4,-7.247507852051164,5.3711225826410495e-12
28,A1a1,A4b1,-2.304864377804567,0.021740378649423762
29,A1a1,A4b2,-4.53920098362152,7.403184292395576e-06
30,A1a1,A4b3,-6.113150998170767,3.5576989120586906e-09
31,A1a1,A4b4,-6.940747005990455,2.946729260013475e-11
32,A1a2,A1a1,5.527514576027324,7.4007456212067e-08
33,A1a2,A1a2,0.0,1.0
34,A1a2,A1a3,1.0090809962281588,0.31325333516020365
35,A1a2,A1a4,-0.12737384650743916,0.8986871573030661
36,A1a2,A1b1,0.7421161019296985,0.4584319422264833
37,A1a2,A1b2,-3.8793203666254126,0.00011509416674460694
38,A1a2,A1b3,-3.3457917772969528,0.0008688653903305257
39,A1a2,A1b4,-3.5559461896607334,0.0004083464408964414
40,A1a2,A2a1,0.5659517277567484,0.5717617218053883
41,A1a2,A2a2,-2.030360407953528,0.042705303331055176
42,A1a2,A2a3,-0.41695442868162697,0.6768455893447203
43,A1a2,A2a4,-2.851731058315396,0.0044810772964481525
44,A1a2,A2b1,-2.529744264945229,0.01172548611116376
45,A1a2,A2b2,-1.704945380528793,0.08865995757835854
46,A1a2,A2b3,-1.7732924234055776,0.07663251014843499
47,A1a2,A2b4,-1.507781330259344,0.13209207346760235
48,A1a2,A3a1,2.0516839021242257,0.04151711174803052
49,A1a2,A3a2,3.262190099837384,0.0012613881159894433
50,A1a2,A3a3,-1.5736349618911651,0.11603191549307217
51,A1a2,A3a4,-2.982692785178767,0.002954222896090982
52,A1a2,A3b1,3.017160359490822,0.0028848821250484274
53,A1a2,A3b2,1.3160174254947967,0.18923158184123293
54,A1a2,A3b3,-0.19013737777425063,0.8492584258235514
55,A1a2,A3b4,-4.2085891916012725,2.8968126155225048e-05
56,A1a2,A4a1,-0.7893920242898274,0.4304604659308229
57,A1a2,A4a2,0.25128263365263465,0.8016938712732861
58,A1a2,A4a3,-1.087151524735028,0.2773653616239935
59,A1a2,A4a4,-2.302033419803266,0.02163213495089924
60,A1a2,A4b1,-0.18138582699813763,0.8561812894156587
61,A1a2,A4b2,0.13837174351390874,0.8900013211989841
62,A1a2,A4b3,-0.6946439256652011,0.48751460798327895
63,A1a2,A4b4,-1.9765391668708756,0.048495776609795545
64,A1a3,A1a1,5.223220835557526,3.9374837492145196e-07
65,A1a3,A1a2,-1.0090809962281588,0.31325333516020365
66,A1a3,A1a3,0.0,1.0
67,A1a3,A1a4,-1.5605569552860583,0.11889091416018237
68,A1a3,A1b1,0.2872610359175681,0.774072039208862
69,A1a3,A1b2,-5.2916167428039795,1.7200167846557397e-07
70,A1a3,A1b3,-4.876224993899612,1.4054880278688157e-06
71,A1a3,A1b4,-5.054762410169374,6.197381219530756e-07
72,A1a3,A2a1,0.06403653254988674,0.9489799812950638
73,A1a3,A2a2,-3.4799195652327586,0.0005325398740629714
74,A1a3,A2a3,-1.6965553421229747,0.09017296869190805
75,A1a3,A2a4,-4.55921594553305,5.982698359093081e-06
76,A1a3,A2b1,-3.357820306390939,0.0008590943040319113
77,A1a3,A2b2,-2.9995080777585295,0.0028088891194013466
78,A1a3,A2b3,-3.1742381630218,0.001570602419101688
79,A1a3,A2b4,-2.8852072915148423,0.00404001800574015
80,A1a3,A3a1,1.8935825538601883,0.059763832160640996
81,A1a3,A3a2,2.908709035101242,0.004000578248684211
82,A1a3,A3a3,-2.71362341010359,0.006844278846546814
83,A1a3,A3a4,-4.849536034195891,1.4168694112224544e-06
84,A1a3,A3b1,2.863322018314553,0.004649252245103786
85,A1a3,A3b2,0.8382264872498638,0.40272358981081513
86,A1a3,A3b3,-1.1725523333656835,0.24144104062879226
87,A1a3,A3b4,-6.1906961767799835,9.144587855244711e-10
88,A1a3,A4a1,-1.0855953707207158,0.2785048259598568
89,A1a3,A4a2,-0.44505680854592194,0.6565013082449596
90,A1a3,A4a3,-2.2005636116899976,0.028158179190674298
91,A1a3,A4a4,-3.8298760480996012,0.0001393332943572076
92,A1a3,A4b1,-0.4289807223197861,0.6682408231757369
93,A1a3,A4b2,-0.5411720703967358,0.5886749848185312
94,A1a3,A4b3,-1.8802796294134503,0.06050321361580539
95,A1a3,A4b4,-3.329957822558532,0.0009176853785543132
96,A1a4,A1a1,6.157739456255031,3.964149451459185e-09
97,A1a4,A1a2,0.12737384650743916,0.8986871573030661
98,A1a4,A1a3,1.5605569552860583,0.11889091416018237
99,A1a4,A1a4,0.0,1.0
100,A1a4,A1b1,0.8394011636871019,0.40182416201040694
101,A1a4,A1b2,-4.597604379518919,5.5438243801496446e-06
102,A1a4,A1b3,-4.107739598908195,4.792840007781329e-05
103,A1a4,A1b4,-4.315689741959731,2.074292517729386e-05
104,A1a4,A2a1,0.6651782303826304,0.5064458548593561
105,A1a4,A2a2,-2.5192022234811433,0.01205657559944018
106,A1a4,A2a3,-0.41488255611044644,0.6783751009662494
107,A1a4,A2a4,-3.703773297501898,0.00023298263970531556
108,A1a4,A2b1,-2.7193497695161772,0.006861579215455922
109,A1a4,A2b2,-2.035134475764308,0.04237943996931484
110,A1a4,A2b3,-2.179363985898924,0.029767454660678306
111,A1a4,A2b4,-1.8436722542070711,0.06584104168354799
112,A1a4,A3a1,2.084397386818862,0.03844125102145014
113,A1a4,A3a2,3.476466449829681,0.0006196489428834651
114,A1a4,A3a3,-1.802810176280964,0.0720525831743549
115,A1a4,A3a4,-4.018120784983132,6.321187783748504e-05
116,A1a4,A3b1,3.0561450778622063,0.0025580634349271834
117,A1a4,A3b2,1.4687261705323862,0.14332154391995
118,A1a4,A3b3,-0.11398740392820744,0.9092969672242525
119,A1a4,A3b4,-5.559069717939486,3.8593082556237206e-08
120,A1a4,A4a1,-0.7715396998002828,0.4409933280162922
121,A1a4,A4a2,0.36850540466302706,0.7127081435942142
122,A1a4,A4a3,-1.2204294329354126,0.2229420508248869
123,A1a4,A4a4,-2.8999102120785887,0.003883757267909618
124,A1a4,A4b1,-0.1555400046506676,0.8765008414063307
125,A1a4,A4b2,0.23691412081383836,0.8128572315446208
126,A1a4,A4b3,-0.7606552322512568,0.4472187034324999
127,A1a4,A4b4,-2.3913542589481387,0.017161772345437202
128,A1b1,A1a1,3.0497764830629674,0.0024143991305749595
129,A1b1,A1a2,-0.7421161019296985,0.4584319422264833
130,A1b1,A1a3,-0.2872610359175681,0.774072039208862
131,A1b1,A1a4,-0.8394011636871019,0.40182416201040694
132,A1b1,A1b1,0.0,1.0
133,A1b1,A1b2,-2.867304407351268,0.004337337882035677
134,A1b1,A1b3,-2.4904096948427297,0.013153782043749066
135,A1b1,A1b4,-2.6278916121911977,0.008908505478740003
136,A1b1,A2a1,-0.1763838544470803,0.8600529360762047
137,A1b1,A2a2,-1.774616950365713,0.0767337340719403
138,A1b1,A2a3,-0.9661924599089178,0.3345710457625932
139,A1b1,A2a4,-2.1514046881960587,0.03207342900328128
140,A1b1,A2b1,-2.3249184028749275,0.020431877059218825
141,A1b1,A2b2,-1.6320970577998786,0.10342640392663899
142,A1b1,A2b3,-1.6465189453422946,0.10045397819833318
143,A1b1,A2b4,-1.5092752488664267,0.13203719520539156
144,A1b1,A3a1,1.7091260840322853,0.08875083403263874
145,A1b1,A3a2,1.9894210485607076,0.04724373582016103
146,A1b1,A3a3,-1.5927978090236339,0.1119237157354917
147,A1b1,A3a4,-2.1775697017337463,0.030071496197962164
148,A1b1,A3b1,2.633452702133069,0.009011770510960419
149,A1b1,A3b2,0.3633359091064717,0.7165041984802636
150,A1b1,A3b3,-0.8367124736137891,0.40321508220261826
151,A1b1,A3b4,-2.8058387041586177,0.005277041976481214
152,A1b1,A4a1,-1.1024337525017742,0.2708343057378121
153,A1b1,A4a2,-0.5151719037552942,0.606645580392457
154,A1b1,A4a3,-1.3217055745692328,0.186969498482544
155,A1b1,A4a4,-1.902612383114282,0.05782824385544106
156,A1b1,A4b1,-0.5212661279360308,0.6024499343815505
157,A1b1,A4b2,-0.5763037847716834,0.564646208115894
158,A1b1,A4b3,-1.1053477337206308,0.2696722964006143
159,A1b1,A4b4,-1.7687418285008532,0.07768552292478187
160,A1b2,A1a1,8.117894177051447,1.1606583504435865e-14
161,A1b2,A1a2,3.8793203666254126,0.00011509416674460694
162,A1b2,A1a3,5.2916167428039795,1.7200167846557397e-07
163,A1b2,A1a4,4.597604379518919,5.5438243801496446e-06
164,A1b2,A1b1,2.867304407351268,0.004337337882035677
165,A1b2,A1b2,0.0,1.0
166,A1b2,A1b3,0.793258359565407,0.42795229832033244
167,A1b2,A1b4,0.5036360574160089,0.6147231554481684
168,A1b2,A2a1,2.869100422095535,0.004333121945188005
169,A1b2,A2a2,2.219916311825811,0.026807000252534432
170,A1b2,A2a3,3.936440380417754,9.343356555071699e-05
171,A1b2,A2a4,1.6161635314470557,0.10662479419862503
172,A1b2,A2b1,0.3790578195975146,0.7047994317817782
173,A1b2,A2b2,2.349662207950426,0.01911030572481683
174,A1b2,A2b3,2.4514388904638866,0.014523075451851815
175,A1b2,A2b4,2.7358502563830367,0.0064177128481280685
176,A1b2,A3a1,2.823964302888729,0.005223852496189847
177,A1b2,A3a2,5.24397646734965,3.243873825471573e-07
178,A1b2,A3a3,2.2093173104869086,0.027505198516694748
179,A1b2,A3a4,1.6614604788437692,0.09718886318464219
180,A1b2,A3b1,3.7862275772915326,0.00020195795716556128
181,A1b2,A3b2,3.6356280622307433,0.0003255983864717546
182,A1b2,A3b3,3.5632633507457867,0.00039399916052721855
183,A1b2,A3b4,0.37963288936508577,0.7043582787382554
184,A1b2,A4a1,0.5336064133880546,0.5939706811623693
185,A1b2,A4a2,3.2482675403691594,0.0012318886296326958
186,A1b2,A4a3,2.7461458072663767,0.0062063139925986124
187,A1b2,A4a4,2.01524216399314,0.04434157319024851
188,A1b2,A4b1,0.9566627000823387,0.3394563668217514
189,A1b2,A4b2,3.0510297288994113,0.0023933818355410695
190,A1b2,A4b3,3.390453295274928,0.0007440792450384209
191,A1b2,A4b4,2.125687645846535,0.03393528684393129
192,A1b3,A1a1,7.8516818917375755,9.599849388238792e-14
193,A1b3,A1a2,3.3457917772969528,0.0008688653903305257
194,A1b3,A1a3,4.876224993899612,1.4054880278688157e-06
195,A1b3,A1a4,4.107739598908195,4.792840007781329e-05
196,A1b3,A1b1,2.4904096948427297,0.013153782043749066
197,A1b3,A1b2,-0.793258359565407,0.42795229832033244
198,A1b3,A1b3,0.0,1.0
199,A1b3,A1b4,-0.2944412396668725,0.7685475845957258
200,A1b3,A2a1,2.4654935421787445,0.014136810656879233
201,A1b3,A2a2,1.5178383451222208,0.12963162456886454
202,A1b3,A2a3,3.380134445853783,0.0007797504581109664
203,A1b3,A2a4,0.832185755095728,0.40568284335413074
204,A1b3,A2b1,-0.19972752627710058,0.8417805305683209
205,A1b3,A2b2,1.6830060938372917,0.0929284449558589
206,A1b3,A2b3,1.7716615465550452,0.07701450317164216
207,A1b3,A2b4,2.077785583761753,0.03821483001062168
208,A1b3,A3a1,2.674735837701029,0.008105607792300424
209,A1b3,A3a2,4.931480430994332,1.5134259791900974e-06
210,A1b3,A3a3,1.568966762606364,0.11719135694085345
211,A1b3,A3a4,0.8551502183773211,0.3928534266586713
212,A1b3,A3b1,3.639949294493026,0.00034776500851297276
213,A1b3,A3b2,3.248068055753916,0.0013053675041275632
214,A1b3,A3b3,3.0165736863857395,0.002668763645860265
215,A1b3,A3b4,-0.531719900133765,0.595135377635664
216,A1b3,A4a1,0.26976608305033645,0.7875131337604525
217,A1b3,A4a2,2.7631659506799475,0.005938639489297794
218,A1b3,A4a3,2.1350262697822133,0.03318876178455431
219,A1b3,A4a4,1.2872120531212587,0.1985688200618785
220,A1b3,A4b1,0.7315489008352296,0.4649898123242726
221,A1b3,A4b2,2.5685151705481464,0.010514351723711516
222,A1b3,A4b3,2.802484705429202,0.005248516879537522
223,A1b3,A4b4,1.4358357701535942,0.15160697465555867
224,A1b4,A1a1,7.9630484102997885,4.340142650551148e-14
225,A1b4,A1a2,3.5559461896607334,0.0004083464408964414
226,A1b4,A1a3,5.054762410169374,6.197381219530756e-07
227,A1b4,A1a4,4.315689741959731,2.074292517729386e-05
228,A1b4,A1b1,2.6278916121911977,0.008908505478740003
229,A1b4,A1b2,-0.5036360574160089,0.6147231554481684
230,A1b4,A1b3,0.2944412396668725,0.7685475845957258
231,A1b4,A1b4,0.0,1.0
232,A1b4,A2a1,2.6133673088869163,0.009325998645803165
233,A1b4,A2a2,1.7861123967717658,0.07471234841517414
234,A1b4,A2a3,3.6043499053457273,0.0003489816865018719
235,A1b4,A2a4,1.1297892290991733,0.259166028850266
236,A1b4,A2b1,0.00894346670909601,0.992868034237907
237,A1b4,A2b2,1.937020109449728,0.053300750503847784
238,A1b4,A2b3,2.032575078213815,0.04265122414653825
239,A1b4,A2b4,2.3322530365069967,0.020116866183497673
240,A1b4,A3a1,2.727706113298702,0.00695026521979519
241,A1b4,A3a2,5.048169070762792,8.649457883185409e-07
242,A1b4,A3a3,1.8104084051983593,0.070782630763965
243,A1b4,A3a4,1.1629715379756147,0.2454708911621051
244,A1b4,A3b1,3.6920327948093288,0.0002871919459560115
245,A1b4,A3b2,3.3914879200846664,0.0007944557221746983
246,A1b4,A3b3,3.2288927838848647,0.0013192698150189194
247,A1b4,A3b4,-0.19214264242223184,0.8477144643921695
248,A1b4,A4a1,0.3631465026736245,0.7167318179305879
249,A1b4,A4a2,2.9454148326441563,0.0033783176630000464
250,A1b4,A4a3,2.3683485103698927,0.01823262770146331
251,A1b4,A4a4,1.564706525736705,0.11832154809331351
252,A1b4,A4b1,0.8112470554245247,0.4178344880910716
253,A1b4,A4b2,2.7487199604893315,0.006207588083807317
254,A1b4,A4b3,3.0326189374753194,0.0025528597131026553
255,A1b4,A4b4,1.69780770706294,0.09016580424679792
256,A2a1,A1a1,3.449997396221225,0.0006142885304991012
257,A2a1,A1a2,-0.5659517277567484,0.5717617218053883
258,A2a1,A1a3,-0.06403653254988674,0.9489799812950638
259,A2a1,A1a4,-0.6651782303826304,0.5064458548593561
260,A2a1,A1b1,0.1763838544470803,0.8600529360762047
261,A2a1,A1b2,-2.869100422095535,0.004333121945188005
262,A2a1,A1b3,-2.4654935421787445,0.014136810656879233
263,A2a1,A1b4,-2.6133673088869163,0.009325998645803165
264,A2a1,A2a1,0.0,1.0
265,A2a1,A2a2,-1.6884755520814272,0.09220760861181623
266,A2a1,A2a3,-0.8063427674342791,0.42062374690313775
267,A2a1,A2a4,-2.1004970748801792,0.03642748379249912
268,A2a1,A2b1,-2.268783908803312,0.023688299766904945
269,A2a1,A2b2,-1.5327143337054605,0.12620435293479584
270,A2a1,A2b3,-1.5488842959233853,0.12230905932093478
271,A2a1,A2b4,-1.3994083042753835,0.16258201070235434
272,A2a1,A3a1,1.800858777459955,0.07305518199095538
273,A2a1,A3a2,2.2483378938458176,0.02507712527312568
274,A2a1,A3a3,-1.4894503931422045,0.13715743346097192
275,A2a1,A3a4,-2.130584057202245,0.03387385000183528
276,A2a1,A3b1,2.7333948446414644,0.006761125689997165
277,A2a1,A3b2,0.5699409380854812,0.56899395395989
278,A2a1,A3b3,-0.6700794083847335,0.5032006981773156
279,A2a1,A3b4,-2.815183120200722,0.0051621639483910905
280,A2a1,A4a1,-1.0055413425964448,0.3151888946225325
281,A2a1,A4a2,-0.33609027762390326,0.7369446102417202
282,A2a1,A4a3,-1.1956618039391655,0.23255725280414896
283,A2a1,A4a4,-1.8282366298653088,0.0683728696053818
284,A2a1,A4b1,-0.4228181273180985,0.6726525752577034
285,A2a1,A4b2,-0.40353990443983856,0.6867201331019159
286,A2a1,A4b3,-0.9596161801550854,0.33789529966774134
287,A2a1,A4b4,-1.681403055835051,0.09353926614847446
288,A2a2,A1a1,7.04639854046473,1.742756570466724e-11
289,A2a2,A1a2,2.030360407953528,0.042705303331055176
290,A2a2,A1a3,3.4799195652327586,0.0005325398740629714
291,A2a2,A1a4,2.5192022234811433,0.01205657559944018
292,A2a2,A1b1,1.774616950365713,0.0767337340719403
293,A2a2,A1b2,-2.219916311825811,0.026807000252534432
294,A2a2,A1b3,-1.5178383451222208,0.12963162456886454
295,A2a2,A1b4,-1.7861123967717658,0.07471234841517414
296,A2a2,A2a1,1.6884755520814272,0.09220760861181623
297,A2a2,A2a2,0.0,1.0
298,A2a2,A2a3,1.8922137459083928,0.05895472741418245
299,A2a2,A2a4,-0.8013335403451212,0.4232602408998326
300,A2a2,A2b1,-1.2248646221522324,0.221277357643599
301,A2a2,A2b2,0.2495418722254328,0.8030277805962365
302,A2a2,A2b3,0.27281280624761234,0.7850931296769321
303,A2a2,A2b4,0.581945611317773,0.560833671229974
304,A2a2,A3a1,2.4152187536684426,0.016642774887666096
305,A2a2,A3a2,4.280941578977438,2.7215392134959296e-05
306,A2a2,A3a3,0.23934047796054875,0.8109230540332235
307,A2a2,A3a4,-0.854878974648476,0.39293577994953655
308,A2a2,A3b1,3.3823792371826866,0.0008665663237637102
309,A2a2,A3b2,2.472546962413686,0.014051406519455304
310,A2a2,A3b3,1.7370181491913474,0.08290431096425557
311,A2a2,A3b4,-2.267025933421988,0.023723391885497935
312,A2a2,A4a1,-0.1805055518951958,0.8568714592376043
313,A2a2,A4a2,1.7485837280232235,0.08101880103002701
314,A2a2,A4a3,0.801063884284128,0.42342467010066775
315,A2a2,A4a4,-0.266200157793041,0.7901764490051789
316,A2a2,A4b1,0.3458156341202393,0.7297162439545166
317,A2a2,A4b2,1.5805876725597052,0.11466591195440505
318,A2a2,A4b3,1.3933143184829602,0.16404365008137967
319,A2a2,A4b4,-0.02433583674215177,0.9805928777336669
320,A2a3,A1a1,6.1092349174476706,4.196028243775232e-09
321,A2a3,A1a2,0.41695442868162697,0.6768455893447203
322,A2a3,A1a3,1.6965553421229747,0.09017296869190805
323,A2a3,A1a4,0.41488255611044644,0.6783751009662494
324,A2a3,A1b1,0.9661924599089178,0.3345710457625932
325,A2a3,A1b2,-3.936440380417754,9.343356555071699e-05
326,A2a3,A1b3,-3.380134445853783,0.0007797504581109664
327,A2a3,A1b4,-3.6043499053457273,0.0003489816865018719
328,A2a3,A2a1,0.8063427674342791,0.42062374690313775
329,A2a3,A2a2,-1.8922137459083928,0.05895472741418245
330,A2a3,A2a3,0.0,1.0
331,A2a3,A2a4,-2.863667482837041,0.0043354333098846
332,A2a3,A2b1,-2.4058274992873216,0.01657858712741955
333,A2a3,A2b2,-1.5143122084044707,0.13050422796894812
334,A2a3,A2b3,-1.5949197509239503,0.11128539734146088
335,A2a3,A2b4,-1.288041715813224,0.19827204746958205
336,A2a3,A3a1,2.129421417207482,0.034474416304188786
337,A2a3,A3a2,3.545943888445279,0.0004771112374142406
338,A2a3,A3a3,-1.3675870383093485,0.17198728813296854
339,A2a3,A3a4,-3.0460642756433507,0.002404604133927316
340,A2a3,A3b1,3.098587651872151,0.0022303953014198804
