,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony
0,228.442,2018-05-02 18:14:41.487563000,H2a4,2018-05-02 18:14:41.259121000,510.0,0 days 00:00:00.335868000,2018-05-02 18:14:41.427055000,,,,38.950583333333334
1,183.234,2018-05-02 18:14:41.778223000,H2a4,2018-05-02 18:14:41.594989000,510.0,0 days 00:00:00.335825000,2018-05-02 18:14:41.762901500,2018-05-02 18:14:41.427055000,2018-05-02 18:14:41.487563000,-107.426,38.950583333333334
2,-74.77,2018-05-02 18:14:41.856044000,H2a4,2018-05-02 18:14:41.930814000,510.0,0 days 00:00:00.319833000,2018-05-02 18:14:42.090730500,2018-05-02 18:14:41.762901500,2018-05-02 18:14:41.778223000,-152.591,38.950583333333334
3,-173.57,2018-05-02 18:14:42.077077000,H2a4,2018-05-02 18:14:42.250647000,510.0,0 days 00:00:00.336020000,2018-05-02 18:14:42.418657000,2018-05-02 18:14:42.090730500,2018-05-02 18:14:42.363713000,113.066,38.950583333333334
4,-222.954,2018-05-02 18:14:42.363713000,H2a4,2018-05-02 18:14:42.586667000,510.0,0 days 00:00:00.319601000,2018-05-02 18:14:42.746467500,2018-05-02 18:14:42.418657000,2018-05-02 18:14:42.650270000,63.603,38.950583333333334
5,-255.998,2018-05-02 18:14:42.650270000,H2a4,2018-05-02 18:14:42.906268000,510.0,0 days 00:00:00.319788000,2018-05-02 18:14:43.066162000,2018-05-02 18:14:42.746467500,2018-05-02 18:14:42.945036000,38.768,38.950583333333334
6,-281.02,2018-05-02 18:14:42.945036000,H2a4,2018-05-02 18:14:43.226056000,510.0,0 days 00:00:00.319952000,2018-05-02 18:14:43.386032000,2018-05-02 18:14:43.066162000,2018-05-02 18:14:43.256265000,30.209,38.950583333333334
7,-289.743,2018-05-02 18:14:43.256265000,H2a4,2018-05-02 18:14:43.546008000,510.0,0 days 00:00:00.319794000,2018-05-02 18:14:43.705905000,2018-05-02 18:14:43.386032000,2018-05-02 18:14:43.620599000,74.591,38.950583333333334
8,-245.203,2018-05-02 18:14:43.620599000,H2a4,2018-05-02 18:14:43.865802000,510.0,0 days 00:00:00.319815000,2018-05-02 18:14:44.025709500,2018-05-02 18:14:43.705905000,2018-05-02 18:14:43.907028000,41.226,38.950583333333334
9,-278.589,2018-05-02 18:14:43.907028000,H2a4,2018-05-02 18:14:44.185617000,510.0,0 days 00:00:00.319827000,2018-05-02 18:14:44.345530500,2018-05-02 18:14:44.025709500,2018-05-02 18:14:44.226512000,40.895,38.950583333333334
10,-278.932,2018-05-02 18:14:44.226512000,H2a4,2018-05-02 18:14:44.505444000,510.0,0 days 00:00:00.319848000,2018-05-02 18:14:44.665368000,2018-05-02 18:14:44.345530500,2018-05-02 18:14:44.537586000,32.142,38.950583333333334
11,-287.706,2018-05-02 18:14:44.537586000,H2a4,2018-05-02 18:14:44.825292000,510.0,0 days 00:00:00.303986000,2018-05-02 18:14:44.977285000,2018-05-02 18:14:44.665368000,2018-05-02 18:14:44.881536000,56.244,38.950583333333334
12,-247.742,2018-05-02 18:14:44.881536000,H2a4,2018-05-02 18:14:45.129278000,510.0,0 days 00:00:00.319655000,2018-05-02 18:14:45.289105500,2018-05-02 18:14:44.977285000,2018-05-02 18:14:45.200775000,71.497,38.950583333333334
13,-248.158,2018-05-02 18:14:45.200775000,H2a4,2018-05-02 18:14:45.448933000,510.0,0 days 00:00:00.303881000,2018-05-02 18:14:45.600873500,2018-05-02 18:14:45.289105500,2018-05-02 18:14:45.524324000,75.391,38.950583333333334
14,-228.49,2018-05-02 18:14:45.524324000,H2a4,2018-05-02 18:14:45.752814000,510.0,0 days 00:00:00.319739000,2018-05-02 18:14:45.912683500,2018-05-02 18:14:45.600873500,2018-05-02 18:14:45.835427000,82.613,38.950583333333334
15,-237.126,2018-05-02 18:14:45.835427000,H2a4,2018-05-02 18:14:46.072553000,510.0,0 days 00:00:00.303944000,2018-05-02 18:14:46.224525000,2018-05-02 18:14:45.912683500,2018-05-02 18:14:46.142498000,69.945,38.950583333333334
16,-233.999,2018-05-02 18:14:46.142498000,H2a4,2018-05-02 18:14:46.376497000,510.0,0 days 00:00:00.319824000,2018-05-02 18:14:46.536409000,2018-05-02 18:14:46.224525000,2018-05-02 18:14:46.425044000,48.547,38.950583333333334
17,-271.277,2018-05-02 18:14:46.425044000,H2a4,2018-05-02 18:14:46.696321000,510.0,0 days 00:00:00.319859000,2018-05-02 18:14:46.856250500,2018-05-02 18:14:46.536409000,2018-05-02 18:14:46.719828000,23.507,38.950583333333334
18,-296.352,2018-05-02 18:14:46.719828000,H2a4,2018-05-02 18:14:47.016180000,510.0,0 days 00:00:00.319789000,2018-05-02 18:14:47.176074500,2018-05-02 18:14:46.856250500,2018-05-02 18:14:47.063663000,47.483,38.950583333333334
19,-272.306,2018-05-02 18:14:47.063663000,H2a4,2018-05-02 18:14:47.335969000,510.0,0 days 00:00:00.320002000,2018-05-02 18:14:47.495970000,2018-05-02 18:14:47.176074500,2018-05-02 18:14:47.407629000,71.66,38.950583333333334
20,-248.342,2018-05-02 18:14:47.407629000,H2a4,2018-05-02 18:14:47.655971000,510.0,0 days 00:00:00.319757000,2018-05-02 18:14:47.815849500,2018-05-02 18:14:47.495970000,2018-05-02 18:14:47.718726000,62.755,38.950583333333334
21,-257.002,2018-05-02 18:14:47.718726000,H2a4,2018-05-02 18:14:47.975728000,510.0,0 days 00:00:00.319661000,2018-05-02 18:14:48.135558500,2018-05-02 18:14:47.815849500,2018-05-02 18:14:48.042162000,66.434,38.950583333333334
22,-253.227,2018-05-02 18:14:48.042162000,H2a4,2018-05-02 18:14:48.295389000,510.0,0 days 00:00:00.336016000,2018-05-02 18:14:48.463397000,2018-05-02 18:14:48.135558500,2018-05-02 18:14:48.332828000,37.439,38.950583333333334
23,-298.577,2018-05-02 18:14:48.332828000,H2a4,2018-05-02 18:14:48.631405000,510.0,0 days 00:00:00.319690000,2018-05-02 18:14:48.791250000,2018-05-02 18:14:48.463397000,2018-05-02 18:14:48.635795000,4.39,38.950583333333334
24,-315.3,2018-05-02 18:14:48.635795000,H2a4,2018-05-02 18:14:48.951095000,510.0,0 days 00:00:00.336092000,2018-05-02 18:14:49.119141000,2018-05-02 18:14:48.791250000,2018-05-02 18:14:48.955093000,3.998,38.950583333333334
25,-332.094,2018-05-02 18:14:48.955093000,H2a4,2018-05-02 18:14:49.287187000,510.0,0 days 00:00:00.319709000,2018-05-02 18:14:49.447041500,2018-05-02 18:14:49.119141000,2018-05-02 18:14:49.258100000,-29.087,38.950583333333334
26,-348.796,2018-05-02 18:14:49.258100000,H2a4,2018-05-02 18:14:49.606896000,510.0,0 days 00:00:00.335907000,2018-05-02 18:14:49.774849500,2018-05-02 18:14:49.447041500,2018-05-02 18:14:49.630612000,23.716,38.950583333333334
27,-312.191,2018-05-02 18:14:49.630612000,H2a4,2018-05-02 18:14:49.942803000,510.0,0 days 00:00:00.319620000,2018-05-02 18:14:50.102613000,2018-05-02 18:14:49.774849500,2018-05-02 18:14:49.974623000,31.82,38.950583333333334
28,-287.8,2018-05-02 18:14:49.974623000,H2a4,2018-05-02 18:14:50.262423000,510.0,0 days 00:00:00.335894000,2018-05-02 18:14:50.430370000,2018-05-02 18:14:50.102613000,2018-05-02 18:14:50.269324000,6.901,38.950583333333334
29,-328.993,2018-05-02 18:14:50.269324000,H2a4,2018-05-02 18:14:50.598317000,510.0,0 days 00:00:00.319778000,2018-05-02 18:14:50.758206000,2018-05-02 18:14:50.430370000,2018-05-02 18:14:50.576400000,-21.917,38.950583333333334
30,-341.695,2018-05-02 18:14:50.576400000,H2a4,2018-05-02 18:14:50.918095000,510.0,0 days 00:00:00.319837000,2018-05-02 18:14:51.078013500,2018-05-02 18:14:50.758206000,2018-05-02 18:14:50.973551000,55.456,38.950583333333334
31,-555.061,2018-05-02 18:14:50.682871000,H2a4,2018-05-02 18:14:51.237932000,510.0,0 days 00:00:00.319888000,2018-05-02 18:14:51.397876000,2018-05-02 18:14:51.078013500,2018-05-02 18:14:51.301092000,63.16,38.950583333333334
32,-584.269,2018-05-02 18:14:50.973551000,H2a4,2018-05-02 18:14:51.557820000,510.0,0 days 00:00:00.319814000,2018-05-02 18:14:51.717727000,2018-05-02 18:14:51.397876000,2018-05-02 18:14:51.657313000,99.493,38.950583333333334
33,-576.542,2018-05-02 18:14:51.301092000,H2a4,2018-05-02 18:14:51.877634000,510.0,0 days 00:00:00.319892000,2018-05-02 18:14:52.037580000,2018-05-02 18:14:51.717727000,2018-05-02 18:14:51.976659000,99.025,38.950583333333334
34,-540.213,2018-05-02 18:14:51.657313000,H2a4,2018-05-02 18:14:52.197526000,510.0,0 days 00:00:00.319854000,2018-05-02 18:14:52.357453000,2018-05-02 18:14:52.037580000,2018-05-02 18:14:52.287775000,90.249,38.950583333333334
35,-540.721,2018-05-02 18:14:51.976659000,H2a4,2018-05-02 18:14:52.517380000,510.0,0 days 00:00:00.303949000,2018-05-02 18:14:52.669354500,2018-05-02 18:14:52.357453000,2018-05-02 18:14:52.570462000,53.082,38.950583333333334
36,-533.554,2018-05-02 18:14:52.287775000,H2a4,2018-05-02 18:14:52.821329000,510.0,0 days 00:00:00.319672000,2018-05-02 18:14:52.981165000,2018-05-02 18:14:52.669354500,2018-05-02 18:14:52.905991000,84.662,38.950583333333334
37,-570.539,2018-05-02 18:14:52.570462000,H2a4,2018-05-02 18:14:53.141001000,510.0,0 days 00:00:00.303761000,2018-05-02 18:14:53.292881500,2018-05-02 18:14:52.981165000,2018-05-02 18:14:53.188401000,47.4,38.950583333333334
38,-538.771,2018-05-02 18:14:52.905991000,H2a4,2018-05-02 18:14:53.444762000,510.0,0 days 00:00:00.320166000,2018-05-02 18:14:53.604845000,2018-05-02 18:14:53.292881500,2018-05-02 18:14:53.511999000,67.237,38.950583333333334
39,-576.527,2018-05-02 18:14:53.188401000,H2a4,2018-05-02 18:14:53.764928000,510.0,0 days 00:00:00.319680000,2018-05-02 18:14:53.924768000,2018-05-02 18:14:53.604845000,2018-05-02 18:14:53.765782000,0.854,38.950583333333334
40,-572.609,2018-05-02 18:14:53.511999000,H2a4,2018-05-02 18:14:54.084608000,510.0,0 days 00:00:00.319943000,2018-05-02 18:14:54.244579500,2018-05-02 18:14:53.924768000,2018-05-02 18:14:54.109985000,25.377,38.950583333333334
41,-638.769,2018-05-02 18:14:53.765782000,H2a4,2018-05-02 18:14:54.404551000,510.0,0 days 00:00:00.319654000,2018-05-02 18:14:54.564378000,2018-05-02 18:14:54.244579500,2018-05-02 18:14:54.408578000,4.027,38.950583333333334
42,-614.22,2018-05-02 18:14:54.109985000,H2a4,2018-05-02 18:14:54.724205000,510.0,0 days 00:00:00.320158000,2018-05-02 18:14:54.884284000,2018-05-02 18:14:54.564378000,2018-05-02 18:14:54.744400000,20.195,38.950583333333334
43,-635.785,2018-05-02 18:14:54.408578000,H2a4,2018-05-02 18:14:55.044363000,510.0,0 days 00:00:00.319524000,2018-05-02 18:14:55.204125000,2018-05-02 18:14:54.884284000,2018-05-02 18:14:55.063586000,19.223,38.950583333333334
44,-619.487,2018-05-02 18:14:54.744400000,H2a4,2018-05-02 18:14:55.363887000,510.0,0 days 00:00:00.335682000,2018-05-02 18:14:55.531728000,2018-05-02 18:14:55.204125000,2018-05-02 18:14:55.420041000,56.154,38.950583333333334
45,-635.983,2018-05-02 18:14:55.063586000,H2a4,2018-05-02 18:14:55.699569000,510.0,0 days 00:00:00.320019000,2018-05-02 18:14:55.859578500,2018-05-02 18:14:55.531728000,2018-05-02 18:14:55.743340000,43.771,38.950583333333334
46,-599.547,2018-05-02 18:14:55.420041000,H2a4,2018-05-02 18:14:56.019588000,510.0,0 days 00:00:00.335597000,2018-05-02 18:14:56.187386500,2018-05-02 18:14:55.859578500,2018-05-02 18:14:56.078822000,59.234,38.950583333333334
47,-611.845,2018-05-02 18:14:55.743340000,H2a4,2018-05-02 18:14:56.355185000,510.0,0 days 00:00:00.320081000,2018-05-02 18:14:56.515225500,2018-05-02 18:14:56.187386500,2018-05-02 18:14:56.377713000,22.528,38.950583333333334
48,-596.444,2018-05-02 18:14:56.078822000,H2a4,2018-05-02 18:14:56.675266000,510.0,0 days 00:00:03.038261000,2018-05-02 18:14:58.194396500,2018-05-02 18:14:56.515225500,2018-05-02 18:14:56.725948000,50.682,38.950583333333334
49,-3335.814,2018-05-02 18:14:56.377713000,H2a1,2018-05-02 18:14:59.713527000,510.0,0 days 00:00:01.343353000,2018-05-02 18:15:00.385203500,2018-05-02 18:14:58.194396500,2018-05-02 18:14:59.923382000,209.855,49.16523529411763
50,-4330.932,2018-05-02 18:14:56.725948000,H2a1,2018-05-02 18:15:01.056880000,510.0,0 days 00:00:01.087129000,2018-05-02 18:15:01.600444500,2018-05-02 18:15:00.385203500,2018-05-02 18:15:01.229514000,172.634,49.16523529411763
51,-2220.627,2018-05-02 18:14:59.923382000,H2a1,2018-05-02 18:15:02.144009000,510.0,0 days 00:00:00.927739000,2018-05-02 18:15:02.607878500,2018-05-02 18:15:01.600444500,2018-05-02 18:15:02.367857000,223.848,49.16523529411763
52,-3070.74,2018-05-02 18:15:00.001008000,H2a1,2018-05-02 18:15:03.071748000,510.0,0 days 00:00:00.799572000,2018-05-02 18:15:03.471534000,2018-05-02 18:15:02.607878500,2018-05-02 18:15:03.222965000,151.217,49.16523529411763
53,-2641.806,2018-05-02 18:15:01.229514000,H2a1,2018-05-02 18:15:03.871320000,510.0,0 days 00:00:00.703564000,2018-05-02 18:15:04.223102000,2018-05-02 18:15:03.471534000,2018-05-02 18:15:03.857729000,-13.591,49.16523529411763
54,-2207.027,2018-05-02 18:15:02.367857000,H2a1,2018-05-02 18:15:04.574884000,510.0,0 days 00:00:00.623930000,2018-05-02 18:15:04.886849000,2018-05-02 18:15:04.223102000,2018-05-02 18:15:04.676681000,101.797,49.16523529411763
55,-1975.849,2018-05-02 18:15:03.222965000,H2a1,2018-05-02 18:15:05.198814000,510.0,0 days 00:00:00.703390000,2018-05-02 18:15:05.550509000,2018-05-02 18:15:04.886849000,2018-05-02 18:15:05.376702000,177.888,49.16523529411763
56,-2044.475,2018-05-02 18:15:03.857729000,H2a1,2018-05-02 18:15:05.902204000,510.0,0 days 00:00:00.799510000,2018-05-02 18:15:06.301959000,2018-05-02 18:15:05.550509000,2018-05-02 18:15:05.933539000,31.335,49.16523529411763
57,-2025.033,2018-05-02 18:15:04.676681000,H2a1,2018-05-02 18:15:06.701714000,510.0,0 days 00:00:00.927420000,2018-05-02 18:15:07.165424000,2018-05-02 18:15:06.301959000,2018-05-02 18:15:06.748226000,46.512,49.16523529411763
58,-2252.432,2018-05-02 18:15:05.376702000,H2a1,2018-05-02 18:15:07.629134000,510.0,0 days 00:00:01.087601000,2018-05-02 18:15:08.172934500,2018-05-02 18:15:07.165424000,2018-05-02 18:15:07.559070000,-70.064,49.16523529411763
59,-2783.196,2018-05-02 18:15:05.933539000,H2a1,2018-05-02 18:15:08.716735000,510.0,0 days 00:00:01.327405000,2018-05-02 18:15:09.380437500,2018-05-02 18:15:08.172934500,2018-05-02 18:15:08.639645000,-77.09,49.16523529411763
60,-3295.914,2018-05-02 18:15:06.748226000,H2a1,2018-05-02 18:15:10.044140000,510.0,0 days 00:00:01.087446000,2018-05-02 18:15:10.587863000,2018-05-02 18:15:09.380437500,2018-05-02 18:15:09.965994000,-78.146,49.16523529411763
61,-4252.256,2018-05-02 18:15:06.879330000,H2a1,2018-05-02 18:15:11.131586000,510.0,0 days 00:00:00.927269000,2018-05-02 18:15:11.595220500,2018-05-02 18:15:10.587863000,2018-05-02 18:15:11.329636000,198.05,49.16523529411763
62,-4499.785,2018-05-02 18:15:07.559070000,H2a1,2018-05-02 18:15:12.058855000,510.0,0 days 00:00:00.799623000,2018-05-02 18:15:12.458666500,2018-05-02 18:15:11.595220500,2018-05-02 18:15:12.087023000,28.168,49.16523529411763
63,-4218.833,2018-05-02 18:15:08.639645000,H2a1,2018-05-02 18:15:12.858478000,510.0,0 days 00:00:00.927567000,2018-05-02 18:15:13.322261500,2018-05-02 18:15:12.458666500,2018-05-02 18:15:12.840440000,-18.038,49.16523529411763
64,-3820.051,2018-05-02 18:15:09.965994000,H2a1,2018-05-02 18:15:13.786045000,510.0,0 days 00:00:01.087429000,2018-05-02 18:15:14.329759500,2018-05-02 18:15:13.322261500,2018-05-02 18:15:13.589414000,-196.631,49.16523529411763
65,-3543.838,2018-05-02 18:15:11.329636000,H2a1,2018-05-02 18:15:14.873474000,510.0,0 days 00:00:01.327165000,2018-05-02 18:15:15.537056500,2018-05-02 18:15:14.329759500,2018-05-02 18:15:14.821539000,-51.935,49.16523529411763
66,-4113.616,2018-05-02 18:15:12.087023000,H2a1,2018-05-02 18:15:16.200639000,510.0,,,2018-05-02 18:15:15.537056500,,,49.16523529411763
67,,2018-05-02 18:15:12.840440000,,,,,,,,,
68,,2018-05-02 18:15:13.589414000,,,,,,,,,
69,,2018-05-02 18:15:14.821539000,,,,,,,,,
70,,2018-05-02 18:15:15.902802000,,,,,,,,,
